오늘,오늘,446.0,0.9838709677419355
마동석,마동석,444.0,1.0
만들어,만들어,439.0,0.6019417475728155
원빈,원빈,439.0,0.9831932773109243
스케일,스케일,431.0,1.0
시절,시절,430.0,1.0
알고,알고,428.0,1.0
아쉽다,아쉽다,427.0,0.38461538461538464
무엇,무엇,427.0,1.0
초반,초반,427.0,0.9910714285714286
오락영화,오락영화,424.0,0.8773584905660378
부족,부족,424.0,0.9936708860759493
캐스팅,캐스팅,420.0,0.983739837398374
드라마,드라마,418.0,0.8901098901098901
집중,집중,417.0,1.0
신선,신선,416.0,1.0
공룡,공룡,415.0,0.9744680851063829
아쉬운,아쉬운,407.0,1.0
재난영화,재난영화,401.0,0.9294117647058824
나라,나라,401.0,0.7811320754716982
여러,여러,398.0,1.0
캡틴,캡틴,395.0,0.956989247311828
마무리,마무리,393.0,0.9801980198019802
감정,감정,392.0,0.9838709677419355
쿠키,쿠키,392.0,0.9285714285714286
유머,유머,391.0,0.9661016949152542
등장,등장,390.0,1.0
상황,상황,389.0,1.0
엔딩,엔딩,387.0,1.0
년,10년,385.0,0.9878048780487805
여운,여운,384.0,0.9940298507462687
감사,감사,381.0,0.9803921568627451
정우성,정우성,378.0,1.0
얼굴,얼굴,376.0,0.9899497487437185
대박,대박,375.0,0.971830985915493
세계,세계,375.0,0.9715639810426541
마블영화,마블영화,372.0,0.9047619047619048
전편,전편,372.0,1.0
구성,구성,372.0,0.992
이순신,이순신,371.0,1.0
매력적,매력적,368.0,1.0
의미,의미,368.0,0.9695431472081218
절대,절대,367.0,1.0
임파서블,임파서블,362.0,0.978494623655914
괴물,괴물,360.0,1.0
추억,추억,358.0,1.0
한번,한번,358.0,1.0
이해,이해,356.0,0.9747899159663865
시나리오,시나리오,355.0,0.9668508287292817
역할,역할,355.0,1.0
반전,반전,354.0,0.991701244813278
요즘,요즘,353.0,1.0
여자,여자,350.0,0.9245283018867925
수작,수작,349.0,1.0
매우,매우,348.0,1.0
볼거리,볼거리,346.0,0.9893617021276596
자신,자신,346.0,1.0
실제,실제,345.0,0.9866666666666667
전쟁,전쟁,343.0,0.9811320754716981
순간,순간,341.0,1.0
보세요,보세요,340.0,0.3333333333333333
관람,관람,340.0,0.9874213836477987
깔끔,깔끔,339.0,1.0
스릴,스릴,338.0,0.9782608695652174
후반부,후반부,335.0,1.0
북한,북한,335.0,1.0
황정민,황정민,333.0,0.9858156028368794
어색,어색,333.0,0.9857651245551602
실화,실화,331.0,0.6454545454545455
탄탄,탄탄,330.0,1.0
예상,예상,329.0,0.9836065573770492
영상미,영상미,327.0,0.9669421487603306
모두,모두,327.0,1.0
흥미,흥미,327.0,0.9527027027027027
진정,진정,327.0,1.0
않다,않다,326.0,0.5
요소,요소,325.0,1.0
시원,시원,324.0,1.0
좀비,좀비,323.0,0.926605504587156
뮤지컬,뮤지컬,321.0,1.0
전형적,전형적,321.0,1.0
사회,사회,321.0,0.9907407407407407
부분이,부분이,320.0,1.0
지나,지나,320.0,0.5727554179566563
시간,2시간,319.0,1.0
것이다,것이다,318.0,1.0
소름,소름,318.0,0.9854014598540146
미국,미국,317.0,0.983739837398374
박보영,박보영,313.0,1.0
만족,만족,312.0,0.9916317991631799
진부,진부,311.0,1.0
점수,점수,311.0,1.0
아깝다,아깝다,310.0,1.0
따뜻,따뜻,308.0,1.0
시간이,시간이,307.0,1.0
이것,이것,307.0,1.0
번째,번째,303.0,0.6923076923076923
그것,그것,302.0,1.0
잔인,잔인,301.0,0.9919028340080972
볼만,볼만,300.0,1.0
현빈,현빈,300.0,0.975609756097561
편,3편,299.0,1.0
,ㅋㅋㅋㅋ,298.0,1.0
있는데,있는데,298.0,1.0
아니고,아니고,297.0,1.0
영화였다,영화였다,296.0,1.0
액션이,액션이,291.0,1.0
박수,박수,291.0,0.983739837398374
충분,충분,291.0,0.9923076923076923
좋았고,좋았고,290.0,1.0
가능,가능,289.0,1.0
존재,존재,289.0,0.9279279279279279
봉준호,봉준호,288.0,0.8888888888888888
수도,수도,287.0,1.0
한국형,한국형,286.0,1.0
남자,남자,286.0,0.875968992248062
성공,성공,284.0,1.0
알게,알게,284.0,1.0
부족한,부족한,283.0,1.0
행복,행복,283.0,1.0
않을,않을,283.0,1.0
트랜스포머,트랜스포머,280.0,0.8421052631578947
조금,조금,280.0,1.0
감동이,감동이,279.0,0.6666666666666666
전작,전작,279.0,0.9920634920634921
판타지,판타지,278.0,0.9117647058823529
문제,문제,278.0,0.6413043478260869
김아중,김아중,277.0,1.0
답답,답답,277.0,1.0
소리,소리,277.0,0.9328859060402684
그래픽,그래픽,276.0,1.0
정신,정신,276.0,0.9894179894179894
김윤석,김윤석,275.0,1.0
비슷,비슷,275.0,1.0
국민,국민,274.0,1.0
엄마,엄마,274.0,0.9746835443037974
인생영화,인생영화,273.0,0.7105263157894737
블록버스터,블록버스터,272.0,0.8596491228070176
일본,일본,272.0,1.0
좋음,좋음,272.0,0.3333333333333333
킬링타임용,킬링타임용,270.0,1.0
그나마,그나마,270.0,1.0
각본,각본,270.0,0.9518072289156626
머리,머리,270.0,0.9705882352941176
가서,가서,270.0,1.0
아름,아름,269.0,0.9851851851851852
아버지,아버지,267.0,0.9466666666666667
적절,적절,267.0,1.0
제발,제발,266.0,0.7777777777777778
봤음,봤음,265.0,0.7142857142857143
좋은데,좋은데,264.0,1.0
사건,사건,264.0,1.0
상상력,상상력,263.0,1.0
진심,진심,263.0,1.0
인물,인물,262.0,1.0
단순,단순,261.0,1.0
더욱,더욱,261.0,1.0
별점,별점,260.0,0.975
동안,동안,260.0,1.0
중요,중요,259.0,1.0
분명,분명,259.0,1.0
언제나,언제나,257.0,0.6
이번,이번,257.0,1.0
언제,언제,257.0,0.7045454545454546
아는,아는,256.0,1.0
감독님,감독님,255.0,0.896551724137931
전체적,전체적,255.0,1.0
경찰,경찰,255.0,0.9865771812080537
영웅,영웅,254.0,1.0
사이,사이,254.0,1.0
재밌네요,재밌네요,253.0,1.0
완성도,완성도,253.0,0.9325842696629213
재난,재난,253.0,0.978494623655914
아님,아님,253.0,0.9333333333333333
과거,과거,253.0,0.9753086419753086
아저씨,아저씨,252.0,0.7307692307692307
봤네요,봤네요,252.0,1.0
하나도,하나도,252.0,1.0
무비,무비,252.0,0.8518518518518519
감탄,감탄,251.0,1.0
속편,속편,251.0,1.0
대체,대체,251.0,0.92
주제,주제,250.0,0.9187817258883249
누구,누구,250.0,0.7692307692307693
꿀잼,꿀잼,250.0,0.96875
그만,그만,249.0,0.8571428571428571
왜곡,왜곡,249.0,0.9881656804733728
토니,토니,249.0,1.0
후회,후회,249.0,0.9880239520958084
거지,거지,249.0,0.8333333333333334
로봇,로봇,248.0,0.9577464788732394
김수현,김수현,246.0,1.0
영화인,영화인,246.0,1.0
가볍게,가볍게,246.0,1.0
역대급,역대급,245.0,0.9696969696969697
없어서,없어서,245.0,1.0
악당,악당,245.0,1.0
배경,배경,245.0,0.93717277486911
손예진,손예진,244.0,1.0
만점,만점,242.0,0.983739837398374
가득,가득,242.0,0.9827586206896551
가지고,가지고,241.0,1.0
희생,희생,241.0,1.0
감성,감성,241.0,0.9858156028368794
살짝,살짝,241.0,1.0
빼고,빼고,241.0,0.5
국뽕,국뽕,240.0,0.9850746268656716
웹툰,웹툰,238.0,1.0
애들,애들,238.0,0.896551724137931
평범,평범,237.0,1.0
명량,명량,237.0,0.9741935483870968
변신,변신,235.0,0.9682539682539683
통쾌,통쾌,235.0,1.0
이름,이름,234.0,0.922077922077922
