i,j,okt_pos,polarity
18597,8189,쓰리다,-2.0
18496,14334,흉하다,-2.0
8257,7255,소름,-2.0
8236,6299,비만,-2.0
15922,7972,싫다,-2.0
23471,6847,상한,-2.0
7709,9468,역겹다,-2.0
7723,8543,악몽,-2.0
23280,4889,무관심하다,-2.0
23221,14768,삐지다,-2.0
7725,7408,손해,-2.0
23213,10975,잔인하다,-2.0
23171,11861,좌절,-2.0
7836,1038,고통,-2.0
7953,8774,애석하다,-2.0
13674,12564,창피,-2.0
8060,13794,허접,-2.0
23095,10273,윽박,-2.0
8087,11191,재앙,-2.0
23038,5917,부조리,-2.0
23037,6384,비현실적,-2.0
22988,13929,혐오,-2.0
8145,659,건방지다,-2.0
22922,6170,불충분하다,-2.0
8227,6052,불건전,-2.0
