,영화,리뷰,평점,site,okt_review,okt_details,okt_polarity
4175,암살,전지현 연기 너무 잘하고 스토리도 재밌음,10.0,naver,"[('전지현', 'Noun'), ('연기', 'Noun'), ('너무', 'Adverb'), ('잘', 'VerbPrefix'), ('하다', 'Verb'), ('스토리', 'Noun'), ('도', 'Josa'), ('재밌다', 'Adjective')]","[[3, [('잘', 'VerbPrefix'), ('하다', 'Verb')], 2.0]]",0.0
4176,암살,또 봐도 감동이 최고의 영화,10.0,naver,"[('또', 'Noun'), ('보다', 'Verb'), ('감동', 'Noun'), ('이', 'Josa'), ('최고', 'Noun'), ('의', 'Josa'), ('영화', 'Noun')]","[[2, [('감동', 'Noun'), ('이', 'Josa')], 2.0], [4, [('최고', 'Noun'), ('의', 'Josa')], 2.0]]",4.0
4177,암살,연출 연기 영상 미스토리 최고,10.0,naver,"[('연출', 'Noun'), ('연기', 'Noun'), ('영상', 'Noun'), ('미스', 'Noun'), ('토리', 'Noun'), ('최고', 'Noun')]","[[5, [('최고', 'Noun')], 2.0]]",2.0
4178,암살,다 필요 없다 일본 놈들은 모조리 죽여라,10.0,naver,"[('다', 'Adverb'), ('필요', 'Noun'), ('없다', 'Adjective'), ('일본', 'Noun'), ('놈', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('모조리', 'Noun'), ('죽이다', 'Verb')]","[[2, [('없다', 'Adjective')], -1.0]]",-1.0
4179,암살,영화한 장면한 장면 감명 깊게 보았습니다,10.0,naver,"[('영화', 'Noun'), ('한', 'Josa'), ('장면', 'Noun'), ('한', 'Josa'), ('장면', 'Noun'), ('감명', 'Noun'), ('깊다', 'Adjective'), ('보다', 'Verb')]",[],0.0
4180,암살,판타지 영화 보고 반일 투쟁 운운하며 독립운동가에게 감사 인사드리는 것들은 뭐냐ㅋ,1.0,naver,"[('판타지', 'Noun'), ('영화', 'Noun'), ('보고', 'Noun'), ('반일', 'Noun'), ('투쟁', 'Noun'), ('울다', 'Verb'), ('독립운동가', 'Noun'), ('에게', 'Josa'), ('감사', 'Noun'), ('인사', 'Noun'), ('드리다', 'Verb'), ('것', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('뭐', 'Noun'), ('냐', 'Josa')]","[[5, [('울다', 'Verb')], -2.0], [8, [('감사', 'Noun')], 2.0]]",0.0
4181,암살,최고의 시대 물 심심할 때마다 봄,10.0,naver,"[('최고', 'Noun'), ('의', 'Josa'), ('시대', 'Noun'), ('물', 'Noun'), ('심심하다', 'Adjective'), ('때', 'Noun'), ('마다', 'Josa'), ('봄', 'Noun')]","[[0, [('최고', 'Noun'), ('의', 'Josa')], 2.0]]",2.0
4182,암살,배우들은 만족합니다 재미있었어요,10.0,naver,"[('배우', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('만족하다', 'Adjective'), ('재미있다', 'Adjective')]","[[3, [('만족하다', 'Adjective')], 2.0], [4, [('재미있다', 'Adjective')], 2.0]]",4.0
4183,암살,재밌게 잘 봤어요 기회가 된다면 다음에도 보고 싶은 영화,10.0,naver,"[('재밌다', 'Adjective'), ('자다', 'Verb'), ('보다', 'Verb'), ('기회', 'Noun'), ('가', 'Josa'), ('되다', 'Verb'), ('다음', 'Noun'), ('에도', 'Josa'), ('보고', 'Noun'), ('싶다', 'Verb'), ('영화', 'Noun')]",[],0.0
4184,암살,배우들도 스토리도 이제 영화를 봤나 싶네요 아직 안 보셨다면 꼭 보세요,10.0,naver,"[('배우', 'Noun'), ('들', 'Suffix'), ('도', 'Josa'), ('스토리', 'Noun'), ('도', 'Josa'), ('이제', 'Noun'), ('영화', 'Noun'), ('를', 'Josa'), ('보다', 'Verb'), ('싶다', 'Verb'), ('아직', 'Adverb'), ('안', 'Noun'), ('보다', 'Verb'), ('꼭', 'Noun'), ('보다', 'Verb')]",[],0.0
