word,pos,description
무모함,Adjective,형용사
동일하게,Adjective,형용사
더할수록,Adjective,형용사
깊숙한,Adjective,형용사
친근함,Adjective,형용사
있네요,Adjective,형용사
후련하고,Adjective,형용사
유일하게,Adjective,형용사
같았,Adjective,형용사
같아서는,Adjective,형용사
없지는,Adjective,형용사
허무하더라,Adjective,형용사
드넓고,Adjective,형용사
부당함,Adjective,형용사
빠르,Adjective,형용사
미안했고,Adjective,형용사
싫은,Adjective,형용사
평온한,Adjective,형용사
스런,Adjective,형용사
슬파다,Adjective,형용사
있네,Adjective,형용사
그러하였다,Adjective,형용사
생생함을,Adjective,형용사
아름답지가,Adjective,형용사
계시던,Adjective,형용사
상관없다라는,Adjective,형용사
만족스럽고,Adjective,형용사
불쌍해요,Adjective,형용사
없구한,Adjective,형용사
강할,Adjective,형용사
불필요하고,Adjective,형용사
고통스럽다고,Adjective,형용사
아니고요,Adjective,형용사
마땅하지만,Adjective,형용사
재밌어지는데,Adjective,형용사
계셨으면,Adjective,형용사
인하다는,Adjective,형용사
없고서,Adjective,형용사
친하다고,Adjective,형용사
성히,Adjective,형용사
담백함과,Adjective,형용사
싱겁다고,Adjective,형용사
좋앗습니다,Adjective,형용사
진지해도,Adjective,형용사
실망했음,Adjective,형용사
태연한,Adjective,형용사
멋있기까지,Adjective,형용사
아까웠지만,Adjective,형용사
뜨끈한,Adjective,형용사
기뻐서,Adjective,형용사
가득하네신,Adjective,형용사
우스워진,Adjective,형용사
부자연스러웠음,Adjective,형용사
시끄러운데,Adjective,형용사
부럽게,Adjective,형용사
성공함,Adjective,형용사
애잔함으로,Adjective,형용사
아프겠지,Adjective,형용사
틀림없지만,Adjective,형용사
뻔하다라고,Adjective,형용사
뿐이었으니까,Adjective,형용사
아니더라,Adjective,형용사
싫을,Adjective,형용사
미엘,Adjective,형용사
계셨더라면,Adjective,형용사
없서,Adjective,형용사
바쁘,Adjective,형용사
진부했지만,Adjective,형용사
역어,Adjective,형용사
밉,Adjective,형용사
치열함을,Adjective,형용사
있으나,Adjective,형용사
입니다용,Adjective,형용사
훨낫지만,Adjective,형용사
돈독히,Adjective,형용사
미였으나,Adjective,형용사
재밌더군요,Adjective,형용사
적합할,Adjective,형용사
불쌍하냐고,Adjective,형용사
부어주면,Adjective,형용사
있여,Adjective,형용사
완벽함을,Adjective,형용사
찜찜했거든요,Adjective,형용사
찌질했던,Adjective,형용사
씁쓸했는데,Adjective,형용사
이롭기까지,Adjective,형용사
좋았으니까,Adjective,형용사
변했네,Adjective,형용사
스러워진,Adjective,형용사
다르네요,Adjective,형용사
같아진다,Adjective,형용사
단단했던,Adjective,형용사
좋아하며,Adjective,형용사
아쉽진,Adjective,형용사
시리어,Adjective,형용사
아련함으로,Adjective,형용사
가능할까,Adjective,형용사
재미없는데,Adjective,형용사
힘들었네,Adjective,형용사
재미있네,Adjective,형용사
훌륭합니다,Adjective,형용사
썰렁해서,Adjective,형용사
그렇,Adjective,형용사
적절했던,Adjective,형용사
즐겁지,Adjective,형용사
망합니다,Adjective,형용사
많네지,Adjective,형용사
강력했나,Adjective,형용사
찐득하게,Adjective,형용사
두근거림을,Adjective,형용사
없었기에,Adjective,형용사
굵은,Adjective,형용사
나빠,Adjective,형용사
반갑,Adjective,형용사
어처구니없네,Adjective,형용사
우아하면서도,Adjective,형용사
편안히,Adjective,형용사
나약함이,Adjective,형용사
눈부신,Adjective,형용사
약합니다,Adjective,형용사
발칙한,Adjective,형용사
참신함도,Adjective,형용사
심하셔,Adjective,형용사
당연했다,Adjective,형용사
귀여웠어요,Adjective,형용사
가난하오라는,Adjective,형용사
계셔,Adjective,형용사
아쉬었다,Adjective,형용사
식상해져,Adjective,형용사
성장한다는,Adjective,형용사
신비함이,Adjective,형용사
나빴다,Adjective,형용사
어쭙잖은,Adjective,형용사
미었다,Adjective,형용사
있군,Adjective,형용사
좋았지,Adjective,형용사
드러지면,Adjective,형용사
명료한,Adjective,형용사
아닐는지,Adjective,형용사
강렬하진,Adjective,형용사
넘친다,Adjective,형용사
뛰어나고도,Adjective,형용사
잡다한,Adjective,형용사
괜찮겠는데,Adjective,형용사
좋아했었는지가,Adjective,형용사
답답하리만큼,Adjective,형용사
새삼스럽지만,Adjective,형용사
그렇다는,Adjective,형용사
가까우면서도,Adjective,형용사
통쾌하기는커녕,Adjective,형용사
아팠네요,Adjective,형용사
재미있었네,Adjective,형용사
먼과,Adjective,형용사
변하는,Adjective,형용사
소중해진,Adjective,형용사
어설픈도,Adjective,형용사
처참한,Adjective,형용사
어려웠다,Adjective,형용사
충분하지,Adjective,형용사
뒤늦은,Adjective,형용사
가능하지만,Adjective,형용사
장엄하다,Adjective,형용사
무미건조한,Adjective,형용사
따갑게,Adjective,형용사
강해도,Adjective,형용사
무서웠어,Adjective,형용사
전화할,Adjective,형용사
잔인하고,Adjective,형용사
성공하면,Adjective,형용사
혹독해야만,Adjective,형용사
깐깐한,Adjective,형용사
아리네요,Adjective,형용사
굳는다는,Adjective,형용사
알량한,Adjective,형용사
싫어함,Adjective,형용사
쉬워요,Adjective,형용사
있어서도,Adjective,형용사
오묘하고,Adjective,형용사
잘생겼더라면,Adjective,형용사
무책임하네,Adjective,형용사
근사하였으나,Adjective,형용사
행복하냐는,Adjective,형용사
분하다,Adjective,형용사
나약함에,Adjective,형용사
자랑스럽다고,Adjective,형용사
익숙하고,Adjective,형용사
아니에,Adjective,형용사
아닌데라고,Adjective,형용사
아련하게,Adjective,형용사
