word,pos,description
인물,NNG,보통 명사
사기,NNG,보통 명사
연기,NNG,보통 명사
피붙이,NNG,보통 명사
공구,NNG,보통 명사
축하,NNG,보통 명사
품질,NNG,보통 명사
인과,NNG,보통 명사
거부감,NNG,보통 명사
제가,NNG,보통 명사
가치,NNG,보통 명사
남,NNG,보통 명사
왜놈,NNG,보통 명사
수준,NNG,보통 명사
재,NNG,보통 명사
삶,NNG,보통 명사
영화배우,NNG,보통 명사
볼,NNG,보통 명사
다수,NNG,보통 명사
판,NNG,보통 명사
고정,NNG,보통 명사
모욕,NNG,보통 명사
기,NNG,보통 명사
도전,NNG,보통 명사
갈비,NNG,보통 명사
경,NNG,보통 명사
넋,NNG,보통 명사
예상외,NNG,보통 명사
스릴러,NNG,보통 명사
사후,NNG,보통 명사
해,NNG,보통 명사
백병전,NNG,보통 명사
대변,NNG,보통 명사
ㅎ,NNG,보통 명사
절박,NNG,보통 명사
대박,NNG,보통 명사
무순,NNG,보통 명사
저력,NNG,보통 명사
자영업자,NNG,보통 명사
폭,NNG,보통 명사
뇌,NNG,보통 명사
워너비,NNG,보통 명사
통쾌,NNG,보통 명사
값,NNG,보통 명사
신파극,NNG,보통 명사
망,NNG,보통 명사
거가,NNG,보통 명사
정치적,NNG,보통 명사
장점,NNG,보통 명사
베,NNG,보통 명사
저리,NNG,보통 명사
기생충,NNG,보통 명사
고용,NNG,보통 명사
마디,NNG,보통 명사
퀄리티,NNG,보통 명사
절벽,NNG,보통 명사
세종,NNG,보통 명사
배경,NNG,보통 명사
닷,NNG,보통 명사
미수,NNG,보통 명사
증,NNG,보통 명사
키,NNG,보통 명사
연휴,NNG,보통 명사
일기,NNG,보통 명사
헛웃음,NNG,보통 명사
예,NNG,보통 명사
암울,NNG,보통 명사
병신,NNG,보통 명사
이드,NNG,보통 명사
평론,NNG,보통 명사
최소한,NNG,보통 명사
꺼,NNG,보통 명사
연출,NNG,보통 명사
선물,NNG,보통 명사
부모,NNG,보통 명사
신하,NNG,보통 명사
관점,NNG,보통 명사
독립,NNG,보통 명사
창의,NNG,보통 명사
쇼,NNG,보통 명사
한번쯤,NNG,보통 명사
준비,NNG,보통 명사
주지,NNG,보통 명사
명이,NNG,보통 명사
어색,NNG,보통 명사
지가,NNG,보통 명사
조화,NNG,보통 명사
측면,NNG,보통 명사
보스,NNG,보통 명사
반전,NNG,보통 명사
진이,NNG,보통 명사
규모,NNG,보통 명사
남발,NNG,보통 명사
무표정,NNG,보통 명사
포진,NNG,보통 명사
노래,NNG,보통 명사
시브,NNG,보통 명사
