word,pos,description
새삼,MAG,일반 부사
도저히,MAG,일반 부사
너무너무,MAG,일반 부사
길래,MAG,일반 부사
아주,MAG,일반 부사
걍,MAG,일반 부사
툭하면,MAG,일반 부사
천천히,MAG,일반 부사
똑바로,MAG,일반 부사
가장,MAG,일반 부사
전부,MAG,일반 부사
그동안,MAG,일반 부사
언제나,MAG,일반 부사
새롭,MAG,일반 부사
별루,MAG,일반 부사
픽,MAG,일반 부사
또,MAG,일반 부사
왜,MAG,일반 부사
꾸준히,MAG,일반 부사
주기,MAG,일반 부사
하여간,MAG,일반 부사
줄줄,MAG,일반 부사
아까,MAG,일반 부사
여러모로,MAG,일반 부사
많이,MAG,일반 부사
벌써,MAG,일반 부사
자꾸,MAG,일반 부사
빨리,MAG,일반 부사
완전히,MAG,일반 부사
펑펑,MAG,일반 부사
안,MAG,일반 부사
계속,MAG,일반 부사
정녕,MAG,일반 부사
먼저,MAG,일반 부사
끄덕,MAG,일반 부사
늘,MAG,일반 부사
가끔,MAG,일반 부사
싹,MAG,일반 부사
갈수록,MAG,일반 부사
이제야,MAG,일반 부사
하나같이,MAG,일반 부사
더,MAG,일반 부사
훌쩍,MAG,일반 부사
채,MAG,일반 부사
너무,MAG,일반 부사
보다,MAG,일반 부사
딱,MAG,일반 부사
훨씬,MAG,일반 부사
점점,MAG,일반 부사
맨날,MAG,일반 부사
하필,MAG,일반 부사
대단,MAG,일반 부사
분명,MAG,일반 부사
절대,MAG,일반 부사
찡,MAG,일반 부사
쭉쭉,MAG,일반 부사
한데,MAG,일반 부사
피식,MAG,일반 부사
어쨌든,MAG,일반 부사
충분히,MAG,일반 부사
특히,MAG,일반 부사
욱,MAG,일반 부사
잔잔히,MAG,일반 부사
여태,MAG,일반 부사
피식피식,MAG,일반 부사
다행히,MAG,일반 부사
별로,MAG,일반 부사
네,MDN,수 관형사
한두,MDN,수 관형사
두,MDN,수 관형사
세,MDN,수 관형사
한,MDN,수 관형사
오,MDN,수 관형사
모든,MDT,일반 관형사
옛,MDT,일반 관형사
그런,MDT,일반 관형사
뭔,MDT,일반 관형사
이런,MDT,일반 관형사
이따위,MDT,일반 관형사
첫,MDT,일반 관형사
아무,MDT,일반 관형사
몇,MDT,일반 관형사
이딴,MDT,일반 관형사
온갖,MDT,일반 관형사
저,MDT,일반 관형사
왠,MDT,일반 관형사
본,MDT,일반 관형사
다른,MDT,일반 관형사
무슨,MDT,일반 관형사
여러,MDT,일반 관형사
그,MDT,일반 관형사
새,MDT,일반 관형사
전,MDT,일반 관형사
몇몇,MDT,일반 관형사
이,MDT,일반 관형사
맨,MDT,일반 관형사
줄,NNB,일반 의존 명사
마련,NNB,일반 의존 명사
만이,NNB,일반 의존 명사
편,NNB,일반 의존 명사
님,NNB,일반 의존 명사
뻔,NNB,일반 의존 명사
점,NNB,일반 의존 명사
지,NNB,일반 의존 명사
나름,NNB,일반 의존 명사
내,NNB,일반 의존 명사
듯이,NNB,일반 의존 명사
간,NNB,일반 의존 명사
만,NNB,일반 의존 명사
셈,NNB,일반 의존 명사
적,NNB,일반 의존 명사
따위,NNB,일반 의존 명사
외,NNB,일반 의존 명사
뿐,NNB,일반 의존 명사
참,NNB,일반 의존 명사
중,NNB,일반 의존 명사
터,NNB,일반 의존 명사
수,NNB,일반 의존 명사
넘,NNB,일반 의존 명사
쪽,NNB,일반 의존 명사
리,NNB,일반 의존 명사
듯,NNB,일반 의존 명사
마리,NNB,일반 의존 명사
자,NNB,일반 의존 명사
데,NNB,일반 의존 명사
따름,NNB,일반 의존 명사
놈,NNB,일반 의존 명사
번,NNB,일반 의존 명사
옹,NNB,일반 의존 명사
투,NNB,일반 의존 명사
번째,NNB,일반 의존 명사
초,NNB,일반 의존 명사
거,NNB,일반 의존 명사
식,NNB,일반 의존 명사
야,NNB,일반 의존 명사
등,NNB,일반 의존 명사
분,NNB,일반 의존 명사
씨,NNB,일반 의존 명사
대,NNB,일반 의존 명사
때문,NNB,일반 의존 명사
것,NNB,일반 의존 명사
인증,NNG,보통 명사
감안,NNG,보통 명사
잔인,NNG,보통 명사
게임,NNG,보통 명사
환타지,NNG,보통 명사
엉망,NNG,보통 명사
변,NNG,보통 명사
현실,NNG,보통 명사
웹,NNG,보통 명사
포트폴리오,NNG,보통 명사
영웅,NNG,보통 명사
이요,NNG,보통 명사
곳곳,NNG,보통 명사
최근,NNG,보통 명사
세계,NNG,보통 명사
지옥,NNG,보통 명사
균,NNG,보통 명사
진,NNG,보통 명사
시하,NNG,보통 명사
부각,NNG,보통 명사
장군,NNG,보통 명사
구간,NNG,보통 명사
과언,NNG,보통 명사
한반도,NNG,보통 명사
니어,NNG,보통 명사
이동,NNG,보통 명사
과잉,NNG,보통 명사
충족,NNG,보통 명사
완성,NNG,보통 명사
추천,NNG,보통 명사
심,NNG,보통 명사
소식,NNG,보통 명사
복습,NNG,보통 명사
이해,NNG,보통 명사
틀,NNG,보통 명사
어,NNG,보통 명사
담,NNG,보통 명사
활용도,NNG,보통 명사
테,NNG,보통 명사
동안,NNG,보통 명사
해상,NNG,보통 명사
봉,NNG,보통 명사
개,NNG,보통 명사
직원,NNG,보통 명사
기분,NNG,보통 명사
단거,NNG,보통 명사
살만,NNG,보통 명사
인간,NNG,보통 명사
볼거리,NNG,보통 명사
국화,NNG,보통 명사
구현,NNG,보통 명사
불멸,NNG,보통 명사
두말,NNG,보통 명사
웃음,NNG,보통 명사
진기,NNG,보통 명사
사상,NNG,보통 명사
재료,NNG,보통 명사
장사,NNG,보통 명사
감동적,NNG,보통 명사
잘못,NNG,보통 명사
보세,NNG,보통 명사
다이,NNG,보통 명사
버스,NNG,보통 명사
역,NNG,보통 명사
주민,NNG,보통 명사
곳,NNG,보통 명사
시,NNG,보통 명사
강추,NNG,보통 명사
내용,NNG,보통 명사
부분,NNG,보통 명사
돈벌이,NNG,보통 명사
반일,NNG,보통 명사
친일파,NNG,보통 명사
꿀,NNG,보통 명사
자연,NNG,보통 명사
구연,NNG,보통 명사
최대,NNG,보통 명사
기대,NNG,보통 명사
안감,NNG,보통 명사
방해,NNG,보통 명사
반영,NNG,보통 명사
신이,NNG,보통 명사
타임,NNG,보통 명사
하늬,NNG,보통 명사
한데,NNG,보통 명사
만개,NNG,보통 명사
북한,NNG,보통 명사
조무,NNG,보통 명사
영화감독,NNG,보통 명사
향기,NNG,보통 명사
연출력,NNG,보통 명사
결론,NNG,보통 명사
대규모,NNG,보통 명사
교훈적,NNG,보통 명사
대가리,NNG,보통 명사
대하,NNG,보통 명사
정현,NNG,보통 명사
마약,NNG,보통 명사
일한,NNG,보통 명사
금,NNG,보통 명사
벌레,NNG,보통 명사
감독,NNG,보통 명사
존경,NNG,보통 명사
앞,NNG,보통 명사
간만,NNG,보통 명사
판타지,NNG,보통 명사
위대,NNG,보통 명사
디,NNG,보통 명사
뒷심,NNG,보통 명사
눈물샘,NNG,보통 명사
나이트,NNG,보통 명사
광해,NNG,보통 명사
붓,NNG,보통 명사
거짓말,NNG,보통 명사
실망,NNG,보통 명사
구매,NNG,보통 명사
탄,NNG,보통 명사
소방관,NNG,보통 명사
총집합,NNG,보통 명사
캐릭터,NNG,보통 명사
낮,NNG,보통 명사
막판,NNG,보통 명사
증거,NNG,보통 명사
보기,NNG,보통 명사
명장,NNG,보통 명사
직후,NNG,보통 명사
이리,NNG,보통 명사
연발,NNG,보통 명사
난,NNG,보통 명사
애국주의,NNG,보통 명사
감각적,NNG,보통 명사
조미료,NNG,보통 명사
원,NNG,보통 명사
매니아,NNG,보통 명사
킹,NNG,보통 명사
이후,NNG,보통 명사
영접,NNG,보통 명사
생각,NNG,보통 명사
안녕,NNG,보통 명사
일품,NNG,보통 명사
명작,NNG,보통 명사
수원,NNG,보통 명사
걸,NNG,보통 명사
육질,NNG,보통 명사
중국산,NNG,보통 명사
부관,NNG,보통 명사
스토리,NNG,보통 명사
왜란,NNG,보통 명사
디테일,NNG,보통 명사
관계,NNG,보통 명사
대사,NNG,보통 명사
소화율,NNG,보통 명사
혼,NNG,보통 명사
비평,NNG,보통 명사
봄,NNG,보통 명사
핵,NNG,보통 명사
참신,NNG,보통 명사
시기,NNG,보통 명사
만도,NNG,보통 명사
뮤지컬,NNG,보통 명사
오해,NNG,보통 명사
맛,NNG,보통 명사
기록,NNG,보통 명사
중,NNG,보통 명사
개똥,NNG,보통 명사
검사,NNG,보통 명사
모델,NNG,보통 명사
만기,NNG,보통 명사
가,NNG,보통 명사
흑,NNG,보통 명사
오늘,NNG,보통 명사
회사원,NNG,보통 명사
친절,NNG,보통 명사
끼니,NNG,보통 명사
재판,NNG,보통 명사
할머니,NNG,보통 명사
유도,NNG,보통 명사
자극,NNG,보통 명사
상황도,NNG,보통 명사
존속,NNG,보통 명사
노기,NNG,보통 명사
도,NNG,보통 명사
글자,NNG,보통 명사
실수,NNG,보통 명사
잠,NNG,보통 명사
나머지,NNG,보통 명사
소비,NNG,보통 명사
부하,NNG,보통 명사
